Questions,Answers
"Tôi thấy mình khóc vì từng điều nhỏ nhặt, như đánh rơi một cốc nước. Hôm nay đi tắm xong tôi phát hiện mình quên mất một chiếc áo sơ mi. Tôi ngay lập tức bắt đầu khóc. Khi về đến phòng, tôi bắt đầu run rẩy một chút, khóc nhiều hơn và cầu xin nó dừng lại.","Việc các bà mẹ mang thai cảm thấy hoàn toàn xúc động và chảy nước mắt là điều rất bình thường, vì vậy đừng lo lắng. Về mặt sinh học, cơ thể bạn tạo ra một dòng hormone ảnh hưởng đến chất dẫn truyền thần kinh (thông điệp hóa học tới não) đưa bạn lên một chiếc tàu lượn siêu tốc đầy cảm xúc, nhưng đó lại là điều tốt cho em bé. Mọi người phản ứng khác nhau trước những thay đổi tâm trạng này, từ&nbsp;<span style=""line-height: 1.42857;"">lo lắng đến trầm cảm. Tuy nhiên, nó chủ yếu tăng cao trong tam cá nguyệt thứ nhất và thứ ba. Không có hướng dẫn nào về cách xử lý những cảm xúc này, nhưng tham gia vào các hoạt động giác quan khác nhau như đi bộ, yoga, bơi lội, nghe nhạc có thể làm dịu tâm trạng của bạn. Hãy trân trọng những cảm xúc khi mang thai và biết rằng đó là điều bình thường.</span>"
"Bạn gái đường dài của tôi đang ở trong một hội nữ sinh, và điều đó đang thay đổi cô ấy. Tôi cảm thấy như mình ngày càng trở nên ít quan trọng hơn với cô ấy và điều đó thật đau lòng. Cô ấy chỉ muốn tôi ủng hộ hội nữ sinh, nhưng khó quá. Tôi cố gắng mỗi ngày để cho cô ấy thấy rằng cô ấy là điều quan trọng nhất đối với tôi, nhưng cô ấy thậm chí không thể giữ được tương đối tỉnh táo trong bữa tiệc của hội anh em đối với tôi để tôi không lo lắng về việc cô ấy sẽ làm điều gì đó đáng tiếc. Chúng tôi yêu nhau nhưng chúng tôi đang trong giai đoạn khó khăn.","Bạn có thể đã làm nhiều nhất có thể cho mối quan hệ của mình. Mỗi người trong số các bạn là 50% của mối quan hệ. Có phải 50% mà bạn gái của bạn đóng góp cho mối quan hệ của bạn đều dựa trên sự hiểu biết giống như bạn về vấn đề của cặp đôi? Có lẽ điểm khởi đầu tốt để hai bạn trò chuyện là xác định vấn đề mà hai bạn gặp phải khi là một cặp. Bằng cách này, mỗi người trong số các bạn sẽ có thể biết liệu các bạn có những giá trị và định nghĩa giống nhau về lý do ở bên nhau hay không. Tùy thuộc vào những gì mỗi người mong đợi từ mối quan hệ hợp tác của mình, mỗi người sẽ biết rõ liệu và sau đó làm thế nào để phù hợp với người kia. Những cuộc thảo luận này khơi dậy rất nhiều cảm xúc trong mỗi người nên đôi khi việc giữ được đầu óc minh mẫn trở nên rất khó khăn. &nbsp;Cả hai bạn có thể sẽ muốn nói về những vấn đề này nhiều lần. Hãy cân nhắc việc thuê một nhà trị liệu chuyên nghiệp, có bằng cấp và được cấp phép, người sẽ giúp hai bạn đi đúng hướng trong việc kiểm tra các mối liên hệ cảm xúc của mình một cách công bằng và an toàn. Chúc may mắn với sự hiểu biết và đánh giá cao mối quan hệ của bạn!"
"Chồng tôi luôn làm việc. Anh ấy làm việc ở nhà nhưng thời gian làm việc từ sáng đến tối và bỏ bê gia đình. Nếu tôi muốn làm gì thì phải tìm người trông trẻ, nhưng anh ấy làm theo ý mình. Anh ấy hiếm khi đi ngủ khi tôi đi ngủ và chúng tôi chưa bao giờ có những buổi hẹn hò qua đêm.","Tôi rất vui vì bạn biết rằng mình sẽ mong đợi nhiều sự hài lòng hơn khi trở thành một phần của một cặp đôi so với những gì bạn hiện đang mô tả về bản thân. Bạn và chồng bạn có thể nói chuyện về bất kỳ hoặc tất cả những gì bạn đã viết ở đây không? Câu trả lời của anh ấy sẽ là điểm khởi đầu để biết anh ấy hiểu những chia sẻ của mình về mối quan hệ với bạn như thế nào và liệu anh ấy có muốn thực hiện bất kỳ thay đổi nào không và như thế nào. Nếu hai bạn cảm thấy quá căng thẳng trong mối quan hệ để có thể đề cập đến bất kỳ chủ đề nào bạn viết ở đây, thì hãy tự hỏi bản thân lý do cho điều này. Thông thường, mọi người ngại đặt câu hỏi với đối tác của mình, ngay cả khi cảm thấy không vui và họ muốn thay đổi mối quan hệ. Thông thường, mọi người sợ bị đối tác chỉ trích gay gắt và lo lắng rằng chỉ cần nêu ra lý do khiến họ cảm thấy không vui, đồng nghĩa với việc phải nghe những lời phán xét chống lại họ từ đối tác. Bạn nên sử dụng dịch vụ của một nhà trị liệu chuyên nghiệp, có bằng cấp và được cấp phép nếu sau khi cố gắng bắt đầu cuộc trò chuyện về các chủ đề bạn nêu ở đây, cuộc trò chuyện không diễn ra tốt đẹp hoặc đi rất xa. Đối với tất cả chúng ta, những cảm xúc trong mối quan hệ thân mật đều sâu sắc và mạnh mẽ. &nbsp;Chúng không dễ xử lý, đặc biệt là khi căng thẳng và thất vọng. Gửi thật nhiều lời chúc tốt đẹp cho hạnh phúc tương lai!"
"Bất cứ khi nào tôi không nói với bạn bè hoặc bất kỳ ai về những gì tôi đã làm hoặc những điều không thực sự quan trọng, tôi cảm thấy thật tồi tệ, như có một cái lỗ ở bụng. Nó chỉ biến mất khi tôi làm tổn thương chính mình.","Rất tiếc khi biết về hoàn cảnh của bạn. Có thể bạn đang bỏ qua rằng Bản ngã của chính bạn cũng là người đáng để nói chuyện. Không ai trong chúng ta thực sự cô đơn vì chúng ta luôn ở bên chính mình. Tự nói chuyện là một phần quan trọng trong việc hướng dẫn các quyết định của chúng ta và cách chúng ta hiểu các mối quan hệ và tình huống. &nbsp; &nbsp;Ngay cả sau khi kể cho mọi người những câu chuyện hoặc hoạt động, nghe nhận xét của họ, chúng ta luôn quyết định xem cách những người khác đón nhận chúng ta, những nhận xét mà chúng ta nghe phản hồi có phù hợp và chính xác với cuộc sống của chúng ta hay không. Tôi hy vọng cảm giác trống rỗng trong dạ dày của bạn sẽ giảm bớt khi tận hưởng Bản thân của bạn. &nbsp; &nbsp;Tôi đoán rằng việc làm tổn thương bản thân sẽ làm cho lỗ dạ dày cảm thấy bớt tồi tệ hơn vì nỗi đau thể xác mà bạn tự tạo ra khiến bạn mất tập trung vào cảm giác đó. Tận hưởng Bản thân của bạn bằng cách nói chuyện tử tế, yêu thương và đối thoại nội tâm có thể làm giảm hoàn toàn cảm giác về một lỗ hổng. Gửi nhiều may mắn!"
"Chồng tôi luôn làm việc. Anh ấy làm việc ở nhà nhưng thời gian làm việc từ sáng đến tối và bỏ bê gia đình. Nếu tôi muốn làm gì thì phải tìm người trông trẻ, nhưng anh ấy làm theo ý mình. Anh ấy hiếm khi đi ngủ khi tôi đi ngủ và chúng tôi chưa bao giờ có những buổi hẹn hò qua đêm.","Xin chào Ohio, Điều điên rồ về những tình huống như thế này là, gần như chắc chắn, khi chồng bạn đi làm và xa nhà, anh ấy cảm thấy mình đang làm tất cả vì bạn và các con; anh ấy tin rằng anh ấy yêu bạn. Anh ấy có thể cảm thấy như đang gánh gia đình trên vai. 'Ngôn ngữ tình yêu' của bạn khác...bạn muốn dành thời gian với anh ấy hoặc nói chuyện với anh ấy...bạn muốn cảm thấy anh ấy là một phần quan trọng hơn trong gia đình và cảm thấy được kết nối với anh ấy. Tôi hoàn toàn hiểu điều đó và tôi ủng hộ việc bạn yêu cầu điều đó. Anh ấy cũng có thể rất nhớ cảm giác gắn kết đó, nhưng anh ấy cũng có thể cảm nhận được sức nặng của trách nhiệm tài chính. Rất nhiều đàn ông (và phụ nữ) không nói về điều này nhưng họ cảm nhận được. Đôi khi họ cảm thấy như thể dù thế nào đi nữa họ cũng không thể thắng được; có áp lực kiếm tiền và áp lực ở nhà.<span style=""line-height: 1.42857;"">&nbsp;</span><span style=""line-height: 1.42857;"">Anh ấy cũng có nhu cầu; có lẽ anh ấy muốn được đánh giá cao hơn và ít bị đổ lỗi hơn.&nbsp;</span> <span style=""line-height: 1.42857;"">Tôi khuyên bạn nên nói chuyện với anh ấy về cảm giác của bạn, tìm hiểu xem anh ấy cảm thấy thế nào và nhờ một chuyên gia để hỗ trợ bạn nếu phong cách giao tiếp của bạn không tốt. Ngay bây giờ bạn MUỐN dành thời gian với anh ấy và điều đó cho tôi biết rằng bạn có cơ hội tốt để giải quyết vấn đề này thành công.</span>"
"Bất cứ khi nào tôi không nói với bạn bè hoặc bất kỳ ai về những gì tôi đã làm hoặc những điều không thực sự quan trọng, tôi cảm thấy thật tồi tệ, như có một cái lỗ ở bụng. Nó chỉ biến mất khi tôi làm tổn thương chính mình.","Xin chào Kansas, tôi thực sự cảm thấy rằng sự giúp đỡ của bác sĩ trị liệu chuyên nghiệp ở đây rất quan trọng. Cảm giác không bao giờ sai, nhưng việc hiểu chúng đến từ đâu và nói chuyện với người có thể dạy bạn những cách lành mạnh để đối phó có thể giúp ích. Tự làm hại bản thân không phải là câu trả lời cho việc quản lý những cảm xúc mà bạn cảm thấy trong bụng. Mặc dù tôi rất vui vì bạn đã nói điều gì đó ở đây, nhưng một chuyên gia sẽ cần dành chút thời gian với bạn và hiểu sâu sắc về cuộc sống của bạn để giúp bạn giải quyết tất cả những phản ứng này một cách hiệu quả. Tôi hy vọng bạn sẽ sớm liên hệ được với ai đó.&nbsp;"
"Tôi đang yêu xa người đàn ông lý tưởng của mình, nhưng tôi không bị anh ấy thu hút như lẽ ra phải có. Mọi thứ khác ở anh ấy đều hoàn hảo, nhưng tôi thấy mình thèm muốn những người đàn ông hấp dẫn hơn. Bước tiếp theo là kết hôn, nhưng tôi muốn cưới một người mà tôi có thể thức tỉnh và yêu lại từ đầu. Tuy nhiên, tôi cũng không muốn vứt bỏ một mối quan hệ tuyệt vời chỉ vì ham muốn. Tôi có đòi hỏi quá nhiều ở “chàng trai hoàn hảo” không? Có một điều như vậy? Tôi có thực sự đang yêu không?","Nguyên tắc cơ bản để có được sự hài lòng trong mối quan hệ là biết những gì bạn có thể và không thể sống khi có và không có. &nbsp;Và, vì bạn đang cân nhắc việc kết hôn, bạn tưởng tượng mình sẽ hài lòng khi sống với và không có những phẩm chất nhất định của người bạn đời của mình trong bao lâu. Có một động lực mạnh mẽ giữa hai người xác định cấu trúc cơ bản của mối quan hệ. Mặc dù cuộc sống tràn ngập những điều bất ngờ và có thể thay đổi ngay lập tức, nhưng đây là cách cơ bản để các cặp đôi kết nối. Bạn có hiểu tại sao bạn không bị thu hút bởi đối tác của mình? &nbsp;&nbsp; Dù lý do là gì thì bây giờ là thời điểm tốt để nói điều này về bản thân bạn. &nbsp; Anh ấy có thể khá sẵn lòng và quan tâm đến việc phát triển những cách mới để kích thích tình dục với bạn. &nbsp; Có lẽ anh ấy cũng ngại nói về chủ đề này như bạn. &nbsp;Ở một mức độ nào đó, anh ấy phải biết rằng anh ấy không làm bạn hài lòng. &nbsp;Anh ấy có thể cảm thấy nhẹ nhõm khi nghe bạn đề cập đến chủ đề này! Như mọi khi, hãy nhớ rằng nếu bạn cảm thấy khó bắt đầu thảo luận về một vấn đề trong mối quan hệ, hãy cân nhắc sử dụng các dịch vụ trị liệu với một nhà trị liệu chuyên nghiệp, được chứng nhận và cấp phép."
Tôi không có người bạn thực sự. Tôi có một người bạn gái chọc tức tôi nhưng lại yêu tôi đến chết mất. Tôi đẩy cô ấy ra và đẩy tôi đi. Chúng tôi sắp chia tay và tôi không có ai cả.,"Có thể cần có thời gian cho riêng mình để bạn có thời gian suy ngẫm về bản sắc và giá trị của chính mình, hiểu rõ hơn về điều gì quan trọng nhất đối với bạn và với sự hiểu biết về bản thân ngày càng tăng này, bạn có thể thu hút những người sẽ cảm thấy muốn làm hài lòng bạn bè. . Có mối quan hệ với một người mà bạn đẩy ra và bị đẩy ra xa, với một người khó chịu, dường như chỉ mang lại lợi ích hạn chế cho mỗi bạn. Có thể các bạn ở bên nhau vì sợ ở một mình, và ở một mình chính xác là điều bạn có thể cần bây giờ trong cuộc sống để thu hút những người có thiện cảm hơn với mình."
"Hồi trung học, tôi và bạn tôi thường thủ dâm xung quanh nhau. Bây giờ tôi ghét thậm chí phải nói về nó vì nó quá kỳ lạ. Chúng tôi thậm chí còn không nhận ra mọi chuyện lúc đó hỗn loạn thế nào. Có một lần, mọi chuyện leo thang và cuối cùng chúng tôi làm điều đó vì nhau. Đáng lẽ nó không phải là chuyện đồng tính, nhưng giờ tôi nói về nó chắc chắn có vẻ giống như vậy. Tôi đã đẩy nó đi cho đến khi nó lại hiện lên trong đầu tôi gần đây. Tôi đang gặp rất nhiều rắc rối.","Viết về những lần thủ dâm ở trường trung học của bạn với bạn bè, bản thân nó là một hình thức thừa nhận bức tranh toàn cảnh về con người bạn. &nbsp;&nbsp; Bạn đang làm tốt việc suy ngẫm về hành động của mình một cách trung thực mà bạn đang làm. Điều tích cực nữa là bạn có quan điểm, rằng ở độ tuổi và sự trưởng thành về mặt xã hội của bạn, bạn đã ngây thơ làm điều gì đó mà theo cách nói của người lớn, sẽ bị coi là tiêu cực. Có thể qua con mắt trưởng thành hơn của ngày hôm nay, bạn có thể cảm thấy thương xót và thấu hiểu bản thân thời trung học của mình. &nbsp;Bằng cách này, cảm giác tự phán xét của bạn có thể bắt đầu tan biến hơn một chút."
"Mọi người xung quanh tôi thông minh hơn nhiều và phô trương điều đó. Xung quanh tôi ai cũng gầy, còn tôi thì đang cố gắng nôn để không béo. Mọi việc tôi làm đều sai, và dường như tôi không thể làm điều gì đúng cả! Dường như không có ai khác ở trường cảm thấy như tôi! Đây có phải là cảm xúc bình thường của các cô gái tuổi teen? Tôi không nghĩ những cảm giác này là bình thường.","Có một số cuộc đấu tranh ít ""rõ ràng"" hơn những cuộc đấu tranh khác, một trong số đó là chứng rối loạn ăn uống. Chỉ từ kinh nghiệm cá nhân của bạn, bạn có thể nhận ra việc giữ bí mật như vậy với những người xung quanh có vẻ dễ dàng như thế nào. Tương tự như vậy, có rất nhiều người đang bí mật đấu tranh với vấn đề này nhưng không nhiều người biết hoặc thậm chí không để ý. Vì vậy, bạn chắc chắn không đơn độc. Lòng tự trọng thấp hoặc thiếu tự tin trong một số lĩnh vực là những vấn đề mà MỌI thanh thiếu niên, trên thực tế là MỌI người, đều từng trải qua ở một thời điểm nào đó. Những cảm giác này là ""bình thường"". Tuy nhiên, có vẻ như những cảm giác bất an và thiếu thốn này đã bắt đầu tiêu hao những suy nghĩ và hành vi hàng ngày của bạn, đưa bạn đến vị trí hiện tại - so sánh bản thân với người khác, thanh trừng và cảm thấy tội lỗi tột độ. Đôi khi, tốt nhất là chúng ta tìm kiếm sự giúp đỡ từ bên ngoài thay vì cố gắng tự mình giải quyết vấn đề. Việc phá bỏ những thói quen đi kèm với chứng rối loạn ăn uống thực sự cần đến sự giúp đỡ của bác sĩ, chuyên gia dinh dưỡng và nhà trị liệu, những người có thể giúp thay đổi quan điểm của bạn từ trong ra ngoài! Hi vọng điêu nay co ich!"
"Tôi đang yêu xa người đàn ông lý tưởng của mình, nhưng tôi không bị anh ấy thu hút như lẽ ra phải có. Mọi thứ khác ở anh ấy đều hoàn hảo, nhưng tôi thấy mình thèm muốn những người đàn ông hấp dẫn hơn. Bước tiếp theo là kết hôn, nhưng tôi muốn cưới một người mà tôi có thể thức tỉnh và yêu lại từ đầu. Tuy nhiên, tôi cũng không muốn vứt bỏ một mối quan hệ tuyệt vời chỉ vì ham muốn. Tôi có đòi hỏi quá nhiều ở “chàng trai hoàn hảo” không? Có một điều như vậy? Tôi có thực sự đang yêu không?","Thu hút là quan trọng nhưng đôi khi được đánh giá quá cao. Tôi tò mò về nhận xét của bạn rằng bạn không bị thu hút như bạn ""nên có"" - Thước đo của bạn là gì để đánh giá mức độ hấp dẫn trong một mối quan hệ? Bạn có muốn thân mật về mặt tình dục không? Bạn có thích làm tình với anh ấy không? Bạn có hài lòng với mối quan hệ tình dục của mình khi ở bên anh ấy không?&nbsp; Việc có ham muốn với những người đàn ông khác hấp dẫn hơn không nhất thiết có ý nghĩa gì. Sẽ luôn có những người đàn ông hấp dẫn và những người đàn ông hấp dẫn hơn bạn tình của bạn và những người đàn ông hấp dẫn này sẽ càng hấp dẫn hơn khi bạn yêu xa, xa vòng tay của bạn đời. Yêu một người không có nghĩa là bạn không còn là một người ham muốn tình dục, không còn để ý và khao khát những người đàn ông hấp dẫn.&nbsp; Sự thu hút là kết quả của một số yếu tố ngoài vẻ bề ngoài - bao gồm cả mức độ mà bạn cảm thấy <a href=""http://www.pairtherapytoronto.com/therapy-counsale-psychotherapy-resources/articles/these-simple-interactions-predict- Last-love-or-separation-and-divorce"">cởi mở, an toàn và kết nối về mặt cảm xúc</a> cũng như mức độ hòa hợp của các bạn với cơ thể của nhau. Có vẻ như bạn đánh giá rất cao người đàn ông này ""mọi thứ khác ở anh ấy đều hoàn hảo"". Có lẽ nên dành thêm thời gian bên nhau ở cùng một nơi nếu điều đó có thể trước khi quyết định kết hôn hoặc khi bạn không thực sự yêu.&nbsp;"
Tôi chỉ muốn làm quen với một người để có thể nghe về trải nghiệm đại học của họ và các khóa học họ đã tham gia. Tôi cũng muốn biết liệu họ có thích công việc của mình không và họ đã học ở trường được bao lâu.,"Bạn nên liên hệ với một nhà tâm lý học để trò chuyện nếu đây là lĩnh vực mà bạn có thể muốn theo đuổi.&nbsp; Về thời gian học, thông thường phải mất 4 năm đại học và thêm 4 đến 7 năm học cao học để lấy bằng tiến sĩ trở thành nhà tâm lý học.&nbsp; Ngoài ra còn có những ngành nghề tương tự khác, bao gồm tư vấn không yêu cầu bằng tiến sĩ. Các cố vấn được cấp phép thường hoàn thành 4 năm đại học và thêm 2 năm học cao học.&nbsp; Nếu bạn đang nghĩ đến việc theo đuổi nghề tâm lý học, chương APA địa phương sẽ là nơi tốt để bắt đầu tìm một nhà tâm lý học địa phương để nói chuyện. Đây là đường liên kết đến chương NJ APA: https://www.psychologynj.org/"
"Tôi mắc chứng rối loạn ăn uống chè chén. Tôi đã từng phẫu thuật cắt dạ dày. Tôi cần trợ giúp về các vấn đề bị lạm dụng khi còn nhỏ, chứng nghiện ngập và những người đàn ông bạo hành. Tôi đã điều trị được năm tháng và không nhận được phản hồi nào từ bác sĩ trị liệu.",Bạn có thể thực sự bực bội khi cảm thấy nhân viên tư vấn không cung cấp cho bạn sự trợ giúp mà bạn cần. Lời khuyên của tôi trong tình huống như thế này là hãy cho người cố vấn của bạn biết cảm giác của bạn. Cụ thể hãy nói với nhân viên tư vấn của bạn rằng dường như bạn không nhận được nhiều phản hồi như mong muốn. Nếu điều này không giúp ích được gì thì bạn có thể muốn tìm một cố vấn khác phù hợp hơn với bạn.
"Tôi là một sinh viên quốc tế và đây là học kỳ đầu tiên của tôi ở trường cao học ở Hoa Kỳ. Tôi đã phải đối mặt với một cú sốc văn hóa và rất chán nản khi đến đây. Người cố vấn của tôi ở trường đại học là vị cứu tinh của tôi. Anh ấy đã giúp tôi rất nhiều. Bây giờ tôi sẽ về nước để nghỉ mát. Tôi đang nghĩ sẽ tặng anh ấy thứ gì đó đặc biệt có tên đất nước của tôi trên đó, và tôi nhớ ra rằng anh ấy thích rượu vang. Đất nước tôi nổi tiếng vì điều đó. Tặng rượu vang sau lễ Giáng sinh có phù hợp không?","Đâ là một câu hỏi tuyệt vời. &nbsp;Nói chung, việc nhân viên tư vấn nhận quà từ khách hàng của họ là không phù hợp.&nbsp; <span style=""-webkit-text-size- adjustment: 100%;"">Có một số trường hợp ngoại lệ đối với quy tắc chung này - bao gồm cả việc thừa nhận rằng kiểu tặng quà này có thể có một khía cạnh văn hóa hợp lệ.</span> <span style=""-webkit-text-size- adjustment: 100%;"">Tốt nhất bạn chỉ nên tặng nhân viên tư vấn một tấm thiệp chúc mừng ngày lễ để bày tỏ cảm xúc của mình. Bạn cũng có thể nói chuyện với nhân viên tư vấn của mình về món quà và hỏi xem liệu món quà đó có phù hợp không.</span> <span style=""-webkit-text-size- adjustment: 100%;"">Cuối cùng, tôi biết anh ấy sẽ đánh giá cao nhất khi biết được việc tư vấn có ý nghĩa như thế nào đối với bạn.</span>"
"Vợ tôi đang cố gắng rời đi. Cô ấy đồng ý quay lại và cho tôi một chút thời gian. Thậm chí còn nói rằng cô ấy hy vọng tôi có thể làm được. Chúng tôi chôn đứa con đầu lòng vào tháng 1 cách đây 13 năm. Cô ấy chưa bao giờ vượt qua được nó. Vì vậy, mọi năm vào khoảng thời gian này, cô ấy đều xúc động và nói rằng cô ấy không nghĩ mình yêu tôi, nhưng sau đó chúng tôi lại trở lại bình thường. Lần này, một chàng trai khác bước vào và thể hiện sự chú ý của cô. Tôi sẽ tha thứ cho việc gian lận nếu cô ấy quay về nhà.","Tôi rất tiếc vì bạn đã mất đứa con đầu lòng. &nbsp;Cái chết của một đứa trẻ luôn để lại lời nhắc nhở vĩnh viễn cho cha mẹ về khoảng thời gian vô cùng đau đớn trong cuộc đời họ. Tin tốt là bạn nhận thức được rằng bạn và vợ bạn không có sự kết nối một cách hài lòng. Có nhiều lĩnh vực có thể cần xem xét trong mối quan hệ của bạn với tư cách là đối tác và cha mẹ. Nếu những gì bạn viết ở đây là những quan sát và lý thuyết của bạn về quan điểm và kết luận của vợ bạn, thì bước đầu tiên là cùng nhau trò chuyện trực tiếp về những chủ đề bạn viết ở đây. Điều cần làm rõ là lý do cô ấy muốn rời bỏ cuộc hôn nhân là gì. Thông thường, một cuộc khủng hoảng như cái chết của một đứa trẻ sẽ thúc đẩy ai đó nhìn sâu hơn vào các mối quan hệ thân thiết khác. &nbsp; Hãy nhớ rằng nhìn sâu không nhất thiết có nghĩa là rời bỏ cuộc hôn nhân. Ngoài ra, hãy nhận thức được sự thất vọng và bất mãn trong hôn nhân của chính bạn. &nbsp;Hãy sẵn sàng nói về những cảm xúc và sự không chắc chắn của bạn. Không có cái gọi là một người bạn đời hạnh phúc trong một cuộc hôn nhân và một người bạn đời không hạnh phúc. &nbsp; Mỗi người là một phần của hệ thống và chỉ có thể hài lòng với đối tác của mình. Những cuộc trò chuyện mở ra mối quan hệ đau đớn và thất vọng, chứa đựng rất nhiều cảm xúc. &nbsp;Họ rất khó theo dõi. Lời khuyên tốt nhất là hãy tìm một nhà trị liệu cặp đôi, người sẽ trung lập với từng cá nhân bạn và giúp cả hai bạn kiểm tra tình trạng thực sự của mối quan hệ."
"Bố tôi đã lừa dối mẹ tôi suốt 13 năm. Tôi không thể ngừng ám ảnh về việc bạn trai có thể đang lừa dối tôi ngay cả khi tôi biết anh ấy không như vậy. Tôi có toàn quyền truy cập vào điện thoại, mạng xã hội và e-mail của anh ấy. Tôi không bao giờ tìm thấy bất cứ điều gì, nhưng tôi bị ám ảnh bởi việc liên tục kiểm tra để đề phòng. Làm thế nào để tôi ngăn chặn điều này? Nó đang gây chia rẽ giữa chúng ta.","Xin chào Greenville, tôi tôn trọng việc bạn đang sở hữu những phản ứng thái quá của chính mình và bạn muốn dành cho bạn trai của mình sự tôn trọng mà anh ấy xứng đáng có được. Sự thật là một số người gian lận, còn một số thì không, và các đối tác của chúng tôi xứng đáng được hưởng lợi từ sự nghi ngờ trừ khi họ có dấu hiệu không thể tin cậy được. Câu trả lời ở đây nằm ở hai lĩnh vực khác nhau. Về cơ bản, nếu bạn muốn cảm thấy khác biệt (trong trường hợp của bạn là tin tưởng hơn), bạn hãy xem xét suy nghĩ và hành vi của mình. Suy nghĩ của bạn bị mắc kẹt... giống như lốp xe bị lún sâu trên đường. Những suy nghĩ này chỉ là thói quen, chúng không phản ánh sự thật. Nỗi sợ hãi có lẽ đang thì thầm vào tai bạn những câu như “ai cũng lừa dối”, hay “bạn không đủ với anh ấy”. Khi bạn đã hiểu nỗi sợ hãi đang muốn nói gì với mình, hãy hình dung những từ đó bằng màu đỏ vào lần tiếp theo chúng xuất hiện. Hãy tự hỏi bản thân xem bằng chứng nào ủng hộ suy nghĩ đó (sẽ không có nhiều...có lẽ là không có), và bằng chứng nào không ủng hộ điều đó (tôi biết rất nhiều người đàn ông tốt, tôi biết tôi xứng đáng được yêu thương và chung thủy). , không có dấu hiệu ngoại tình...). Bạn đang học cách bác bỏ những suy nghĩ có liên quan đến nỗi sợ hãi. Đó là nửa đầu. Hãy thực hành những suy nghĩ này. Phần còn lại của công việc là ở hành vi của bạn. Hãy hành động như thể bạn tin tưởng anh ấy. Buộc bản thân không kiểm tra hay thẩm vấn, và càng ít kiểm tra, bạn sẽ càng cảm thấy ít bị ám ảnh và không tin tưởng hơn. Hành động “như thể” điều gì đó nếu đúng một cách kỳ lạ lại giúp chúng ta tin vào điều đó. Có thể thay đổi cách chúng ta suy nghĩ và điều này lần lượt thay đổi cách chúng ta cảm nhận. Hãy thử điều này để bắt đầu và gặp bác sĩ trị liệu để được hỗ trợ và trị liệu hành vi nhận thức nếu bạn muốn tìm hiểu sâu hơn lý do tại sao điều này lại xảy ra và cách ngăn chặn nó. Chúc may mắn!"
"Dù là với trai hay gái, tôi luôn cảm thấy bất an khi nói chuyện, sợ làm mình xấu hổ và không đủ tốt. Ngay cả khi đang đi bộ, tôi vẫn lo lắng về ngoại hình, nét mặt của mình và những thứ tương tự.","CHÀO. Tôi rất vui vì bạn đã viết thư, vì tôi nghĩ rất nhiều người gặp phải vấn đề tương tự (ở các mức độ khác nhau) và chúng ta không nói nhiều về vấn đề đó. Bạn có một số lo âu xã hội vượt xa những gì người bình thường có thể cảm nhận được một chút. Hầu hết mọi người đều có chút lo lắng về những gì người khác có thể nghĩ về họ và điều này có thể ngăn cản chúng ta khỏi việc biến mình thành những kẻ ngu ngốc hoàn toàn nên đó là một điều tốt. Nhưng ""hệ thống báo động"" của bạn không hoạt động và bạn đang dành quá nhiều thời gian để lo lắng về việc mình sẽ gặp phải vấn đề như thế nào. Khi bạn già đi, bạn hiểu điều này nhiều hơn, và sự thật là...rằng những người khác thực sự không nghĩ nhiều về bạn hay theo dõi bạn chút nào; họ quá bận rộn với những suy nghĩ giống bạn! Tôi có đủ tốt không? Mọi người có thích tôi, đánh giá tôi...cho rằng tôi kỳ quặc không? Tất cả chúng ta đều quan tâm đến cách chúng ta gặp gỡ nhiều hơn là cách người khác gặp gỡ. Giống như nhiều người, bạn thiếu lòng trắc ẩn với bản thân, sự chấp nhận bản thân và sự tự tin vào chính mình.&nbsp; Linh tính của tôi mách bảo rằng những điều này đến từ đâu đó trong quá khứ của bạn. Sự nhạy cảm của chúng ta thường đến từ (cũng như do di truyền) một thời điểm cụ thể trong cuộc đời khi chúng ta trải qua hoặc cảm thấy điều gì đó quá sức chịu đựng và đôi khi chúng ta gặp phải một hệ thống báo động phản ứng thái quá. Nếu không có thêm chi tiết, thật khó để đi xa hơn ở đây. Tôi khuyên bạn nên gặp một nhà trị liệu thực hiện liệu pháp hành vi nhận thức, điều này có thể giúp bạn hiểu được nguồn gốc của nỗi sợ hãi và học cách quản lý chúng thành công hơn.&nbsp;"
